Designator,Mid X,Mid Y,Rotation,Layer
AE1,71.79,-54.11,180.0,top
AE2,75.975,-76.53,270.0,top
C1,104.1875,-47.63,180.0,top
C10,97.955,-69.765,180.0,top
C11,78.35,-72.3,0.0,top
C12,72.965,-88.595,90.0,top
C14,88.745,-64.1225,180.0,top
C19,108.8825,-63.365,0.0,top
C2,104.19,-49.12,0.0,top
C20,108.905,-64.855,0.0,top
C3,110.0525,-73.385,180.0,top
C4,96.755,-73.385,0.0,top
C5,94.4025,-51.95,0.0,top
C6,94.24,-54.14,0.0,top
C7,124.6,-48.27,180.0,top
C8,110.9925,-53.32,0.0,top
C9,110.96,-55.06,0.0,top
D1,147.78,-37.98,0.0,top
D2,110.3675,-83.13,180.0,top
D3,98.8,-83.23,180.0,top
D4,87.31,-83.26,180.0,top
D5,91.315,-69.755,180.0,top
D6,93.305,-63.965,180.0,top
D7,88.51,-97.6825,270.0,top
D8,100.72,-97.6,270.0,top
D9,112.04,-89.0,270.0,top
FB1,87.965,-61.465,270.0,top
FB2,113.6275,-63.355,180.0,top
J1,120.53,-39.31,180.0,top
J2,136.12,-83.2125,0.0,top
J3,104.47,-39.31,180.0,top
J4,141.135,-52.18,270.0,top
J5,73.055,-93.045,0.0,top
L2,96.77,-66.975,180.0,top
L3,81.81,-70.51,0.0,top
R1,98.71,-51.72,0.0,top
R2,98.44,-54.17,0.0,top
R3,147.31,-42.84,0.0,top
R4,115.245,-53.33,0.0,top
R5,152.32,-42.83,0.0,top
R6,115.25,-55.7,0.0,top
R8,125.33,-51.47,270.0,top
R9,117.35,-49.53,90.0,top
SW1,167.11,-85.22,270.0,top
SW2,105.66,-88.6325,180.0,top
SW3,94.155,-88.6325,180.0,top
SW4,82.65,-88.6325,180.0,top
SW5,95.03,-97.6525,0.0,top
SW6,106.535,-97.6525,0.0,top
SW7,118.04,-88.53,0.0,top
U1,103.475,-65.575,270.0,top
U2,167.235,-45.105,0.0,top
U3,104.7,-52.46,0.0,top
U4,120.88,-50.46,90.0,top
U5,84.18,-66.78,270.0,top
Y1,103.4325,-73.175,0.0,top
